Day,Trial,Threat_dur,Threat_SM,Lunges,Session,Cam,Trt,Lineage,Observer
1,1,0,0,0,1,1,B,1,O
1,2,0,0,0,1,1,B,2,O
1,3,0,0,0,1,2,B,3,O
1,4,0,0,0,1,2,B,4,O
1,5,0,0,0,1,3,V,1,O
1,6,0,0,0,1,3,V,2,O
1,7,0,0,0,1,4,V,3,O
1,8,136.3,9.086666667,0,1,4,V,4,O
1,9,0,0,0,1,5,F,1,O
1,10,0,0,0,1,5,F,2,O
1,11,0,0,0,1,6,F,3,O
1,12,0,0,0,1,6,F,4,O
1,13,0.5,0.033333333,0,2,1,B,1,S
1,14,0,0,0,2,1,B,2,S
1,15,0,0,0,2,2,B,3,S
1,16,0,0,0,2,2,B,4,S
1,17,0.6,0.04,11,2,3,V,1,S
1,18,0,0,0,2,3,V,2,S
1,19,0,0,0,2,4,V,3,S
1,20,0,0,0,2,4,V,4,S
1,21,89.4,5.96,5,2,5,F,1,S
1,22,0.5,0.033333333,0,2,5,F,2,S
1,23,0,0,0,2,6,F,3,S
1,24,4,0.266666667,0,2,6,F,4,S
1,25,0,0,0,3,1,B,1,O
1,26,0,0,0,3,1,B,2,O
1,27,0,0,0,3,2,B,3,O
1,28,0,0,0,3,2,B,4,O
1,29,0,0,0,3,3,V,1,O
1,30,0,0,0,3,3,V,2,O
1,31,0,0,0,3,4,V,3,O
1,32,0,0,0,3,4,V,4,O
1,33,0,0,0,3,5,F,1,O
1,34,0,0,0,3,5,F,2,O
1,35,0,0,0,3,6,F,3,O
1,36,0,0,0,3,6,F,4,O
1,37,0,0,1,4,1,B,1,S
1,38,0,0,0,4,1,B,2,S
1,39,0,0,0,4,2,B,3,S
1,40,0,0,0,4,2,B,4,S
1,41,18.2,1.213333333,2,4,3,V,1,S
1,42,0,0,0,4,3,V,2,S
1,43,0,0,0,4,4,V,3,S
1,44,0,0,0,4,4,V,4,S
1,45,3.8,0.253333333,0,4,5,F,1,S
1,46,1.8,0.12,0,4,5,F,2,S
1,47,0,0,0,4,6,F,3,S
1,48,36.2,2.413333333,1,4,6,F,4,S
2,1,25.8,1.72,0,1,1,F,1,O
2,2,6.2,0.413333333,0,1,1,F,2,O
2,3,9.4,0.626666667,4,1,2,F,3,O
2,4,0,0,0,1,2,F,4,O
2,5,0,0,0,1,3,V,1,O
2,6,0,0,0,1,3,V,2,O
2,7,13.6,0.906666667,0,1,4,V,3,O
2,8,6.6,0.44,0,1,4,V,4,O
2,9,2.5,0.166666667,0,1,5,B,1,O
2,10,0,0,0,1,5,B,2,O
2,11,1.2,0.08,0,1,6,B,3,O
2,12,1.3,0.086666667,0,1,6,B,4,O
2,13,0,0,0,2,1,F,1,S
2,14,0,0,0,2,1,F,2,S
2,15,0.3,0.02,1,2,2,F,3,S
2,16,0,0,0,2,2,F,4,S
2,17,1.5,0.1,0,2,3,V,1,S
2,18,0,0,0,2,3,V,2,S
2,19,0.3,0.02,0,2,4,V,3,S
2,20,0,0,0,2,4,V,4,S
2,21,0,0,0,2,5,B,1,S
2,22,0.2,0.013333333,1,2,5,B,2,S
2,23,0,0,0,2,6,B,3,S
2,24,8.5,0.566666667,0,2,6,B,4,S
2,25,0,0,0,3,1,F,1,S
2,26,4.3,0.286666667,1,3,1,F,2,S
2,27,0,0,0,3,2,F,3,S
2,28,0.6,0.04,0,3,2,F,4,S
2,29,0.3,0.02,0,3,3,V,1,S
2,30,0,0,0,3,3,V,2,S
2,31,12.3,0.82,0,3,4,V,3,S
2,32,7.2,0.48,0,3,4,V,4,S
2,33,0,0,0,3,5,B,1,S
2,34,2.5,0.166666667,2,3,5,B,2,S
2,35,0,0,0,3,6,B,3,S
2,36,7,0.466666667,0,3,6,B,4,S
2,37,35.8,2.386666667,0,4,1,F,1,O
2,38,27.1,1.806666667,1,4,1,F,2,O
2,39,0,0,0,4,2,F,3,O
2,40,24.7,1.646666667,0,4,2,F,4,O
2,41,0,0,0,4,3,V,1,O
2,42,0,0,0,4,3,V,2,O
2,43,0,0,6,4,4,V,3,O
2,44,0,0,0,4,4,V,4,O
2,45,0,0,0,4,5,B,1,O
2,46,0,0,0,4,5,B,2,O
2,47,6.7,0.446666667,0,4,6,B,3,O
2,48,0,0,0,4,6,B,4,O