Block,Cage_number,Treatment,Male_type,wt_female,cvl_female,cvl_male
1,2,UCT,LQ,6,2,8
1,3,UCT,HQ,1,0,4
1,5,SCT,LQ,3,0,6
1,6,SCT,HQ,6,0,10
1,7,NT,HQ,5,3,10
1,16,NT,LQ,2,0,0
1,17,UCT,LQ,0,0,1
1,18,UCT,HQ,4,1,17
1,19,SCT,LQ,8,0,14
1,20,SCT,HQ,5,0,3
1,21,NT,LQ,6,0,5
1,22,NT,HQ,2,0,8
1,31,UCT,LQ,16,0,10
1,32,UCT,HQ,11,0,4
1,33,SCT,LQ,2,0,4
1,34,SCT,HQ,3,0,2
1,35,NT,LQ,5,0,5
1,36,NT,HQ,1,3,1
1,37,UCT,LQ,6,1,10
1,39,UCT,HQ,5,0,1
1,44,SCT,LQ,17,0,10
1,45,SCT,HQ,1,4,4
1,72,NT,LQ,1,2,1
1,73,NT,HQ,0,8,9
1,74,UCT,LQ,3,8,3
1,75,UCT,HQ,2,11,15
1,77,SCT,LQ,11,0,10
1,101,SCT,HQ,1,0,1
1,102,NT,LQ,5,1,10
1,105,NT,HQ,0,0,1
2,2,SCT,HQ,0,0,0
2,3,SCT,LQ,0,0,0
2,5,NT,HQ,9,0,3
2,6,NT,LQ,3,22,16
2,7,UCT,HQ,9,0,14
2,16,UCT,LQ,1,6,4
2,17,SCT,HQ,0,12,1
2,18,SCT,LQ,10,4,13
2,19,NT,HQ,0,15,7
2,20,NT,LQ,2,11,11
2,21,UCT,HQ,4,0,5
2,22,UCT,LQ,9,4,13
2,31,SCT,HQ,1,0,1
2,32,SCT,LQ,13,0,7
2,33,NT,HQ,5,5,9
2,34,NT,LQ,17,0,21
2,35,UCT,HQ,3,19,19
2,36,UCT,LQ,13,1,9
2,37,SCT,HQ,0,0,2
2,39,SCT,LQ,0,17,8
2,44,NT,HQ,1,1,1
2,45,NT,LQ,3,0,2
2,72,UCT,HQ,6,1,14
2,73,UCT,LQ,0,0,0
2,74,SCT,HQ,6,18,16
2,75,SCT,LQ,0,12,15
2,77,NT,HQ,0,0,0
2,101,NT,LQ,1,0,0
2,102,UCT,HQ,1,0,2
2,105,UCT,LQ,4,0,3
3,2,NT,HQ,18,6,7
3,3,NT,LQ,4,10,10
3,5,UCT,HQ,12,0,9
3,6,UCT,LQ,0,0,0
3,7,SCT,HQ,8,9,6
3,16,SCT,LQ,13,0,6
3,17,NT,HQ,3,11,14
3,18,NT,LQ,8,0,5
3,19,UCT,HQ,0,0,0
3,20,UCT,LQ,0,0,0
3,21,SCT,HQ,0,0,0
3,22,SCT,LQ,1,0,2
3,31,NT,HQ,13,0,7
3,32,NT,LQ,2,0,0
3,33,UCT,HQ,7,0,4
3,34,UCT,LQ,0,0,0
3,35,SCT,HQ,0,0,0
3,36,SCT,LQ,10,3,21
3,37,NT,HQ,4,6,5
3,39,NT,LQ,1,3,3
3,44,UCT,HQ,0,28,26
3,45,UCT,LQ,5,8,17
3,72,SCT,HQ,16,0,6
3,73,SCT,LQ,9,5,10
3,74,NT,HQ,3,10,14
3,75,NT,LQ,22,1,11
3,77,UCT,HQ,8,0,0
3,101,UCT,LQ,15,0,13
3,102,SCT,HQ,18,0,17
3,105,SCT,LQ,1,0,6
4,4,UCT,LQ,0,3,10
4,8,UCT,HQ,14,0,15
4,9,SCT,LQ,4,11,10
4,10,SCT,HQ,5,0,1
4,11,NT,LQ,3,8,4
4,12,NT,HQ,5,0,3
4,13,UCT,LQ,1,0,3
4,14,UCT,HQ,4,0,2
4,28,SCT,LQ,2,0,1
4,38,SCT,HQ,0,0,0
4,40,NT,LQ,0,0,0
4,41,NT,HQ,4,0,2
4,42,UCT,LQ,5,0,3
4,58,UCT,HQ,0,1,1
4,59,SCT,LQ,1,1,0
4,60,SCT,HQ,3,0,0
4,61,NT,LQ,1,13,14
4,62,NT,HQ,2,0,1
4,63,UCT,LQ,0,23,17
4,64,UCT,HQ,3,0,6
4,65,SCT,LQ,0,1,2
4,66,SCT,HQ,0,1,1
4,67,NT,LQ,0,4,7
4,68,NT,HQ,6,0,9
4,69,UCT,LQ,1,18,14
4,70,UCT,HQ,18,0,21
4,76,SCT,LQ,0,26,26
4,103,SCT,HQ,2,0,4
4,104,NT,LQ,1,6,3
4,107,NT,HQ,3,16,11